job_id_compression,Compressor_Name,Compression_Time,Decompression_Time,Ratio
job_0_1_1,fqzcomp_-Q_8,124,177,9.185729
job_0_0_1,fqzcomp_-Q_5,129,179,8.876241
job_0_3_1,fqzcomp_-Q_15,123,177,9.107122
job_0_2_1,fqzcomp_-Q_10,127,179,9.282014
job_0_4_1,fqzcomp_-Q_20,130,179,8.782459
job_0_10_1,renano_-t_28,27,32,5.023564
job_0_11_1,enano_-t_28,27,32,5.006867
job_0_9_1,spring_-c_-l_-q_ill_bin,450,190,7.549446
job_0_8_1,spring_-c_-l_-q_qvz_0.4,8760,0,
job_0_5_1,spring_-c_-l_-q_qvz_1,9243,0,
job_0_7_1,spring_-c_-l_-q_qvz_0.6,8916,0,
job_0_6_1,spring_-c_-l_-q_qvz_0.8,9126,0,
