job_id,Compressor_Name,MSE_v3,PSNR_v3
<<<<<<< HEAD
error_analysis_0_0_0,enano_-t_24,0.0,inf
error_analysis_0_1_0,renano_-t_24,0.0,inf
error_analysis_0_2_0,fqzcomp_-Q_5,12.839914131016839,20.955578633273156
=======
error_analysis_0_0_0,fqzcomp_-Q_1,0.7395292913666924,33.351646023933455
error_analysis_0_1_0,fqzcomp_-Q_2,2.5125710477777115,28.04001631542183
error_analysis_0_2_0,fqzcomp_-Q_5,12.839914131016839,20.955578633273156
error_analysis_0_3_0,fqzcomp_-Q_8,30.202940854009242,17.240707504773805
error_analysis_0_4_0,fqzcomp_-Q_10,49.74569064477103,15.073645178808599
error_analysis_0_5_0,fqzcomp_-Q_15,130.15371235001288,10.896634227336648
error_analysis_0_6_0,fqzcomp_-Q_20,263.4187996271395,7.834732162709432
>>>>>>> 1f0bd7d1b255f712c9ab85d63df20a581d9db948
