job_id,Compressor_Name,MSE_v3,PSNR_v3
error_analysis_0_1_1,fqzcomp_-Q_8,44.365250856838465,15.57077041139234
error_analysis_0_11_1,enano_-t_28,0.0,inf
error_analysis_0_0_1,fqzcomp_-Q_5,16.843421632021148,19.776896624186335
error_analysis_0_2_1,fqzcomp_-Q_10,70.28485192868177,13.57258248427999
error_analysis_0_4_1,fqzcomp_-Q_20,295.3396176625491,7.337982743357248
error_analysis_0_3_1,fqzcomp_-Q_15,163.10163681527388,9.916616632080807
error_analysis_0_10_1,renano_-t_28,0.0,inf
error_analysis_0_9_1,spring_-c_-l_-q_ill_bin,3.8511104984781657,26.18534002804719
error_analysis_0_8_1,spring_-c_-l_-q_qvz_0.4,,
error_analysis_0_5_1,spring_-c_-l_-q_qvz_1,,
error_analysis_0_7_1,spring_-c_-l_-q_qvz_0.6,,
error_analysis_0_6_1,spring_-c_-l_-q_qvz_0.8,,
